window_start_month,window_end_month,window_size_months,step_months,n_occurrences,n_documents,low_density,centroid_proj_violence_security_baseline_penultimate_raw,centroid_proj_humanitarian_civilian_baseline_penultimate_raw,centroid_proj_legitimacy_responsibility_baseline_penultimate_raw,subspace_proj_violence_security_baseline_penultimate_raw,subspace_proj_humanitarian_civilian_baseline_penultimate_raw,subspace_proj_legitimacy_responsibility_baseline_penultimate_raw,centroid_proj_violence_security_baseline_penultimate_corrected,centroid_proj_humanitarian_civilian_baseline_penultimate_corrected,centroid_proj_legitimacy_responsibility_baseline_penultimate_corrected,subspace_proj_violence_security_baseline_penultimate_corrected,subspace_proj_humanitarian_civilian_baseline_penultimate_corrected,subspace_proj_legitimacy_responsibility_baseline_penultimate_corrected,centroid_proj_violence_security_dapt_penultimate_raw,centroid_proj_humanitarian_civilian_dapt_penultimate_raw,centroid_proj_legitimacy_responsibility_dapt_penultimate_raw,subspace_proj_violence_security_dapt_penultimate_raw,subspace_proj_humanitarian_civilian_dapt_penultimate_raw,subspace_proj_legitimacy_responsibility_dapt_penultimate_raw,centroid_proj_violence_security_dapt_penultimate_corrected,centroid_proj_humanitarian_civilian_dapt_penultimate_corrected,centroid_proj_legitimacy_responsibility_dapt_penultimate_corrected,subspace_proj_violence_security_dapt_penultimate_corrected,subspace_proj_humanitarian_civilian_dapt_penultimate_corrected,subspace_proj_legitimacy_responsibility_dapt_penultimate_corrected,k_baseline_penultimate,entropy_baseline_penultimate,drift_baseline_penultimate,procrustes_baseline_penultimate,subspace_path_baseline_penultimate,centroid_proj_violence_security_baseline_penultimate,subspace_proj_violence_security_baseline_penultimate,centroid_proj_humanitarian_civilian_baseline_penultimate,subspace_proj_humanitarian_civilian_baseline_penultimate,centroid_proj_legitimacy_responsibility_baseline_penultimate,subspace_proj_legitimacy_responsibility_baseline_penultimate,k_dapt_penultimate,entropy_dapt_penultimate,drift_dapt_penultimate,procrustes_dapt_penultimate,subspace_path_dapt_penultimate,centroid_proj_violence_security_dapt_penultimate,subspace_proj_violence_security_dapt_penultimate,centroid_proj_humanitarian_civilian_dapt_penultimate,subspace_proj_humanitarian_civilian_dapt_penultimate,centroid_proj_legitimacy_responsibility_dapt_penultimate,subspace_proj_legitimacy_responsibility_dapt_penultimate,delta_entropy_penultimate,delta_drift_penultimate,delta_centroid_proj_violence_security_penultimate,delta_subspace_proj_violence_security_penultimate,delta_centroid_proj_humanitarian_civilian_penultimate,delta_subspace_proj_humanitarian_civilian_penultimate,delta_centroid_proj_legitimacy_responsibility_penultimate,delta_subspace_proj_legitimacy_responsibility_penultimate
2023-09,2023-10,2,1,2429,215,FALSE,0.53224088,0.449085052,0.393923884,0.589999185,0.545909199,0.498944339,0.378744034,0.100919504,0.045689337,0.589999185,0.545909199,0.498944339,0.546180276,0.465312734,0.501781892,0.727325911,0.624822105,0.688339141,0.089718747,0.113611449,-0.064572079,0.727325911,0.624822105,0.688339141,45,6.187003769,,,data\phase3_out_4months_2m_fixedanchors\artifacts\subspaces\window_2023-09_baseline_penultimate_raw.npz,0.53224088,0.589999185,0.449085052,0.545909199,0.393923884,0.498944339,62,6.296018883,,,data\phase3_out_4months_2m_fixedanchors\artifacts\subspaces\window_2023-09_dapt_penultimate_raw.npz,0.546180276,0.727325911,0.465312734,0.624822105,0.501781892,0.688339141,0.109015115,,0.013939397,0.137326726,0.016227682,0.078912906,0.107858008,0.189394802
2023-10,2023-11,2,1,4117,339,FALSE,0.528781525,0.449044639,0.394942689,0.615206344,0.542647161,0.513636407,0.31045653,-0.025783445,-0.046241123,0.615206344,0.542647161,0.513636407,0.546260015,0.464694764,0.504164007,0.739310795,0.654194727,0.698499731,0.114785201,0.119146094,-0.008896257,0.739310795,0.654194727,0.698499731,50,6.222404434,1.312636216,2.587892767,data\phase3_out_4months_2m_fixedanchors\artifacts\subspaces\window_2023-10_baseline_penultimate_raw.npz,0.528781525,0.615206344,0.449044639,0.542647161,0.394942689,0.513636407,70,6.328315328,1.704719748,3.296741941,data\phase3_out_4months_2m_fixedanchors\artifacts\subspaces\window_2023-10_dapt_penultimate_raw.npz,0.546260015,0.739310795,0.464694764,0.654194727,0.504164007,0.698499731,0.105910895,0.392083532,0.01747849,0.124104452,0.015650125,0.111547566,0.109221318,0.184863324
2023-11,2023-12,2,1,4920,380,FALSE,0.525715586,0.449644654,0.396227317,0.608531222,0.544024691,0.504053729,0.152976664,-0.086549711,0.000681339,0.608531222,0.544024691,0.504053729,0.54657101,0.464875199,0.50560117,0.747963106,0.655641708,0.702457352,0.139234618,0.14997667,0.067225634,0.747963106,0.655641708,0.702457352,51,6.230241194,1.017236628,1.420214381,data\phase3_out_4months_2m_fixedanchors\artifacts\subspaces\window_2023-11_baseline_penultimate_raw.npz,0.525715586,0.608531222,0.449644654,0.544024691,0.396227317,0.504053729,71,6.336240796,1.166679621,1.533402232,data\phase3_out_4months_2m_fixedanchors\artifacts\subspaces\window_2023-11_dapt_penultimate_raw.npz,0.54657101,0.747963106,0.464875199,0.655641708,0.50560117,0.702457352,0.105999602,0.149442993,0.020855424,0.139431884,0.015230545,0.111617017,0.109373853,0.198403624
2023-12,2024-01,2,1,2822,209,FALSE,0.518125545,0.450671801,0.397959779,0.594805055,0.535577851,0.501126783,-0.378744034,-0.100919504,-0.045689337,0.594805055,0.535577851,0.501126783,0.546219391,0.463522217,0.509029383,0.734127744,0.62956009,0.697090643,-0.089718747,-0.113611449,0.064572079,0.734127744,0.62956009,0.697090643,46,6.195015211,1.506032018,2.687983563,data\phase3_out_4months_2m_fixedanchors\artifacts\subspaces\window_2023-12_baseline_penultimate_raw.npz,0.518125545,0.594805055,0.450671801,0.535577851,0.397959779,0.501126783,65,6.308809689,1.995847154,3.149984287,data\phase3_out_4months_2m_fixedanchors\artifacts\subspaces\window_2023-12_dapt_penultimate_raw.npz,0.546219391,0.734127744,0.463522217,0.62956009,0.509029383,0.697090643,0.113794477,0.489815136,0.028093846,0.139322689,0.012850416,0.093982239,0.111069604,0.195963861
