,2023-10-01,2023-11-01,2023-12-01,2024-01-01
Violence–Security,0.09,0.115,0.139,-0.09
Humanitarian–Civilian,0.114,0.119,0.15,-0.114
Legitimacy–Responsibility,-0.065,-0.009,0.067,0.065
