variant,strategy,mean,std,min,max,iqr,unstable_windows_delta_ge_3
baseline,penultimate,48.0,2.943920288775949,45.0,51.0,4.5,2
dapt,penultimate,67.0,4.242640687119285,62.0,71.0,6.0,2
